x,y,norm
-3.173861642,-1.947363552,0.268553189
-3.140321568,-4.176954414,0.191359725
2.81765785,3.192393827,0.234851978
1.309733184,-0.273303092,0.747415136
-2.733539726,-4.351862524,0.194584398
-4.449633882,-1.11756443,0.217967931
-3.188674834,4.143930765,0.191250359
-4.850447159,3.286741235,0.170673551
-4.114492778,0.313908236,0.242339059
-2.621965071,0.953944929,0.358408855
0.676050837,2.645800441,0.366192171
2.581777357,-2.552505975,0.275440697
-0.281534964,-2.479347114,0.400756572
0.440712491,3.275183616,0.302599146
0.867220353,-0.998425017,0.756161522
-1.830730407,-0.773688878,0.503143886
3.239456474,-4.81609795,0.172288674
4.409920299,-1.683006228,0.211857241
3.663277791,4.041786099,0.183322326
3.267237503,2.763272918,0.233695141
-0.84968515,-1.550348113,0.565636183
0.95556602,2.064762782,0.439529581
-3.581250388,-1.181948889,0.265163782
-4.332511294,-1.543508483,0.217426898
-2.240318421,-3.778881717,0.227631779
3.032872705,-2.084863383,0.271713328
-3.484874367,-0.047045287,0.286928246
4.933388645,4.206273701,0.154246322
4.252262893,-3.886756512,0.173582296
-0.149353408,0.138960075,4.90194059
1.614659974,-4.198850405,0.222290997
-0.785750754,3.206581256,0.302897274
-4.943775593,2.626494909,0.178630129
4.336283775,-3.050197456,0.188621971
-4.491525378,-0.224904392,0.22236292
2.309624026,4.132939586,0.211215251
3.027635853,-0.066630195,0.330210757
-1.898016931,2.797266899,0.295822122
2.912647063,2.304959338,0.269226553
2.668779554,-2.644814873,0.26614737
4.407593304,-0.874253485,0.222545572
3.250723449,4.545364105,0.178949763
-2.21660826,3.191393968,0.257356588
-1.378495288,-0.649005082,0.656326125
3.683449904,2.020143286,0.238035992
-1.061767757,2.353085516,0.38736529
4.025743476,4.158100492,0.172782943
3.551277476,-2.146978903,0.240973719
1.956607648,0.933498693,0.461278692
-0.447688359,0.229888558,1.987032749
-3.322090111,2.907138092,0.22652666
-4.539210506,2.801744849,0.187467834
1.647331162,1.829854684,0.406152933
-4.58378265,-1.103594971,0.212099762
-4.125179732,2.716468287,0.202459401
4.115878697,-2.408105349,0.209705695
4.201490974,-0.196556486,0.237750716
4.963529384,-1.667204668,0.190983746
-0.81753732,0.447930932,1.072723428
-3.682885354,3.763271759,0.189914225
-0.901010986,2.741809177,0.346493225
4.622541339,-0.154745229,0.216210104
4.483246866,-4.563229343,0.156321452
-0.339997356,1.047185864,0.908266923
4.647132874,0.360159204,0.214543086
2.321133088,-4.476747104,0.198306072
-0.310478188,-3.621871848,0.275091428
-4.075791069,3.688784767,0.181910797
-0.849272501,0.506726867,1.011166335
-3.234981873,3.914071426,0.196931824
2.259567044,-0.401575381,0.435734769
-4.589876332,-4.196671417,0.160791206
0.671519397,4.703878076,0.210456802
-2.692857394,-4.312671978,0.196681954
-1.78573255,-3.372278673,0.262061272
4.839710806,1.008692234,0.20227727
4.213851332,0.884176291,0.232254919
4.27965099,-4.05576999,0.169601959
4.383322132,-1.618625647,0.214012282
0.80254578,-2.303413868,0.409967087
-3.520492467,3.783252376,0.193503372
2.104248977,4.244052514,0.211100892
-2.357817739,-3.861852,0.221007534
-2.936182575,3.972781774,0.202426814
-2.572191646,-1.554083495,0.332754375
-0.526661229,-2.203014681,0.441483001
-1.005270196,-0.469243199,0.901392171
3.920414445,1.693725356,0.234157012
-1.022154903,-4.616718211,0.211482727
4.760156781,-3.795817768,0.164249621
-4.376481937,-4.981151352,0.150814874
2.25569459,0.79527333,0.418098429
4.509011213,2.129853376,0.200532287
2.049209339,1.123081022,0.42793816
3.538465122,0.590437428,0.278754357
3.244546223,0.538227079,0.304054357
-0.915406741,-4.631116105,0.211832053
-3.114063497,-1.728761851,0.28076146
-4.946354498,-1.784041471,0.190177224
2.998576753,-2.432616594,0.258984927
-1.931994162,2.487811786,0.317471373
2.119195834,4.383430344,0.205388382
-4.253981465,4.152446113,0.16821776
4.360681409,-1.387451912,0.218527351
0.828853865,-1.661627918,0.538537549
2.355649996,-4.584926177,0.193998796
-1.388173152,-0.484976911,0.680063281
-4.758396426,2.503372395,0.1859867
0.336529632,-3.541429498,0.281105506
0.439452186,-4.898314156,0.203335211
2.094329643,2.918107053,0.278406131
-0.901988719,0.366635953,1.02705702
-4.120685262,-2.724392138,0.202434295
-3.65835424,-0.568078338,0.270109823
-3.710184915,0.968518415,0.260789221
-3.861250472,0.066557439,0.258944992
-4.919200788,-4.495866579,0.150055874
-2.604221142,-4.526336176,0.191496096
-1.174914111,-4.927980839,0.197390309
-2.161593938,4.234917437,0.210318947
3.064215945,-4.126344712,0.19456527
3.27578607,1.732100355,0.269866993
3.640047687,4.060521364,0.183377362
-1.444976164,3.899479755,0.240465927
-4.291285373,3.83159895,0.173824266
3.137717426,-0.390187033,0.31626704
1.637292573,-2.120210843,0.373300137
1.909966085,0.592388355,0.500069114
0.451753199,2.608190526,0.377782675
3.065467462,0.044499852,0.326180155
-3.860310334,-1.188660989,0.24757549
2.777342637,0.724891753,0.34838553
-1.263339742,-2.589143076,0.347111567
-4.178179527,-3.574261471,0.181870709
0.370891238,2.226804255,0.442971742
-0.139905719,-2.215687035,0.450430223
-4.456340596,3.729094737,0.172094051
-1.675155886,3.376307567,0.265320134
4.334029223,2.21399481,0.205474516
1.131019587,-0.469596174,0.816571199
-3.006927453,-1.707617903,0.289186826
